mode,Dice_ET_Avg,Dice_WT_Avg,Dice_TC_Avg,HD95_ET_Avg,HD95_WT_Avg,HD95_TC_Avg
0,0.6793446412197418,0.6713490610557187,0.5852098089338631,90.50111841546499,28.847921756422696,50.68245542184112
1,0.6176272300661995,0.4916283904590113,0.5362005748781467,99.12757095857606,40.88716132804611,58.58969166461633
2,0.5599536835028636,0.41588560881870373,0.5213199094480191,97.3592730454485,47.636065882019324,56.660451431172476
3,0.5663307029594002,0.5818265267662115,0.48082804100542015,85.51571135596784,25.321366866389788,73.851990996991
