Name,mode,Dice_ET,Dice_WT,Dice_TC,HD95_ET,HD95_WT,HD95_TC
BraTS-GLI-02128-103,"0,1,2,3",0.905114674243962,0.8445973758682789,0.912382767440694,1.0,2.8284271247461903,1.0
BraTS-GLI-02128-103,"0,1,2,3",0.905114674243962,0.8445973758682789,0.912382767440694,1.0,2.8284271247461903,1.0
BraTS-GLI-02111-103,"0,1,2,3",0.7619822164389504,0.7709093008264621,0.7750530785562633,2.23606797749979,3.0,2.23606797749979
BraTS-GLI-02128-103,"0,1,2,3",0.905114674243962,0.8445973758682789,0.912382767440694,1.0,2.8284271247461903,1.0
BraTS-GLI-02111-103,"0,1,2,3",0.7619822164389504,0.7709093008264621,0.7750530785562633,2.23606797749979,3.0,2.23606797749979
BraTS-GLI-02208-101,"0,1,2,3",1.0,0.1068016540710109,1.0,373.13,103.80510173924128,87.03010749609965
BraTS-GLI-02128-103,"0,1,2,3",0.905114674243962,0.8445973758682789,0.912382767440694,1.0,2.8284271247461903,1.0
BraTS-GLI-02111-103,"0,1,2,3",0.7619822164389504,0.7709093008264621,0.7750530785562633,2.23606797749979,3.0,2.23606797749979
BraTS-GLI-02208-101,"0,1,2,3",1.0,0.1068016540710109,1.0,373.13,103.80510173924128,87.03010749609965
BraTS-GLI-02740-100,"0,1,2,3",1.0,0.8184259869254549,0.1711194524177522,373.13,2.8284271247461903,86.88498144098322
BraTS-GLI-02128-103,"0,1,2,3",0.9051146742439619,0.8445973758682789,0.9123827674406941,1.0,2.8284271247461903,1.0
BraTS-GLI-02111-103,"0,1,2,3",0.7619822164389504,0.7709093008264621,0.7750530785562633,2.23606797749979,3.0,2.23606797749979
BraTS-GLI-02208-101,"0,1,2,3",1.0,0.10680165407101098,1.0,373.13,103.80510173924127,87.03010749609965
BraTS-GLI-02740-100,"0,1,2,3",1.0,0.8184259869254549,0.17111945241775225,373.13,2.8284271247461903,86.88498144098322
BraTS-GLI-02245-103,"0,1,2,3",0.8303355240401246,0.8732956945884702,0.8390501319261213,1.4142135623730951,2.0,1.4142135623730951
